ID,place1_description,place1_town,place1_country,travel_time_1_min,modes_1_and_or,place_1_purpose,place2_description,place2_town,place2_country,travel_time_2_min,modes_2_and_or,place_2_purpose,place3_description,place3_town,place3_country,travel_time_3_min,modes_3_and_or,place_3_purpose,place4_description,place4_town,place4_country,travel_time_4_min,modes_4_and_or,place_4_purpose,place5_description,place5_town,place5_country,travel_time_5_min,modes_5_and_or,place_5_purpose,cleaned,all_modes,home_lon_centroids_ssecteur_7,home_lat_centroids_ssecteur_7,home_NPA,home_town,ssecteur_7,ssecteur_7_area,population_ssecteur7_2021,ssecteur_3,secteur
123574,MEYRIN,Genève,Suisse,45,TIM,At relatives,GENEVE,Genève,Suisse,20,TIM,At relatives,PARC PROMENADE MARCHE,Genève,Suisse,5,TIM,Sport,GENEVE,Genève,Suisse,10,TIM,Public space,GENEVE,Genève,Suisse,5,TIM,Public services,0,TIM,6.128897857544940,46.22532348866620,1209,Genève,2134040,227557.78585,1180.0,40,34
115754,9999,Genève,Suisse,99999,,At work/school,Eaux-Vives 2000,Genève,Suisse,15,TIM,At work/school,Coop / Migros Eaux-Vives 2000,Genève,Suisse,15,TIM,Shops,Zermatt	Bilbao / Espagne,Genève,Suisse,180,TP+TIM,Other home,Veyrier,Genève,Suisse,10,TIM,Public space,0,,6.151159574593650,46.191470189932100,1206,Genève,2111100,102884.1685,1507.0,100,11
106048,Plainpalais,Châtelaine,Suisse,20,TIM,At work/school,Bernex,Genève,Suisse,0,,Other,Centre-ville,Genève,Suisse,20,TIM,Public space,Perly,Genève,Suisse,15,TIM,Shops,Valais,Genève,Suisse,90,TIM,Other home,0,,6.113273495260670,46.2133966777051,1219,Châtelaine,4300062,306846.09425,4175.0,62,0
144594,Châtelaine,Meyrin,Suisse,50,TIM,At work/school,Gex,Genève,Suisse,30,TIM,Other home,Mitsubishi,Genève,Suisse,5,TP,Individual transport,quartier des Vergers,Genève,Suisse,5,TP,Shops,Forum Meyrin,Genève,Suisse,5,TIM,Public space,0,TIM,6.0710515824241800,46.23294260882350,1217,Meyrin,3000130,450020.23135,4052.0,130,0
103480,"Chêne-Bourg, rue Peillonnex",Thônex,Suisse,10,TP,At relatives,Marcelly Thônex,Genève,Suisse,5,TP,Sport,"Graveson, Thônex-Vallard",Genève,Suisse,10,TP,Collective transport,Garage domicile,Genève,Suisse,2,,Individual transport,Thônex,Genève,Suisse,20,TP,At relatives,0,,6.201819451704360,46.19106980845380,1226,Thônex,4000060,214004.13175,2805.0,60,0
146603,carouge,Meyrin,Suisse,25,TIM,At work/school,meyrin,Genève,Suisse,5,TIM,Shops,leysin,Genève,Suisse,90,TIM,Other home,meyrin,Genève,Suisse,5,TP,At relatives,meyrin,Genève,Suisse,5,TP,Sport,0,TIM,6.078232994805480,46.23677979830580,1217,Meyrin,3000140,285540.15865,5273.0,140,0
134196,Les Grottes,Genève,Suisse,5,MD,At work/school,Bains des Pâquis	Diablerets,Genève,Suisse,10,MD,Sport,Parc	Tout le canton,Genève,Suisse,190,MD,Public space,Tout le canton,Genève,Suisse,190,MD,Public space,Plein Palais,Genève,Suisse,10,MD,At relatives,0,MD,6.123757962556180,46.211967448149200,1203,Genève,2135100,68330.05765,2153.0,100,35
134492,Rive,Genève,Suisse,10,MD+TIM,At work/school,Uni-Mail,Genève,Suisse,10,MD+TIM,At work/school,"Bout-du-monde, Vessy, Salève, bord du lac",Genève,Suisse,10,MD+TIM,Public space,Ville et Canton de Genève,Genève,Suisse,10,MD+TIM,Public space,"Bout-du-monde, Vessy, Lac",Genève,Suisse,10,MD+TIM,Sport,0,MD+TIM,6.159475768799540,46.18447205311460,1206,Genève,2111070,181479.98265,1579.0,70,11
137840,Avenue Alfred-Bertrand - Champel,Genève,Suisse,15,TP,At work/school,Route de Florissant - Champel,Genève,Suisse,10,TIM,Shops,"Divers - Thônex, Plainpalais, Carouge",Genève,Suisse,20,TIM,Public space,Route de Frontenex - Eaux-Vives,Genève,Suisse,10,TIM,At relatives,Queue d'Arve - Acacias,Genève,Suisse,15,TIM,Sport,0,TIM,6.163140188451380,46.18865792397480,1206,Genève,2111060,182557.2631,1589.0,60,11
133507,Vieille-ville,Genève,Suisse,15,TP,At work/school,Centre-ville,Genève,Suisse,20,TP,Shops,centre-ville,Genève,Suisse,20,TP,Public services,centre-ville,Genève,Suisse,15,TP,Public space,parc Bastions,Genève,Suisse,10,TP,Public space,0,TP,6.138345489915320,46.19923404519450,1205,Genève,2113030,80578.58885,2710.0,30,13
141976,9999,Petit-Lancy,Suisse,99999,,Shops,9999,Genève,Suisse,99999,,At relatives,9999,Genève,Suisse,99999,,Public space,9999,Genève,Suisse,99999,,Public space,9999,Genève,Suisse,99999,,Public space,0,,6.109834344608910,46.19028849350240,1213,Petit-Lancy,2800110,238059.2267,3457.0,110,0
100948,Cardinal-Mermillod,Plan-les-Ouates,Suisse,15,TIM,At work/school,Migros Vibert,Genève,Suisse,15,TIM,Shops,voiture,Genève,Suisse,1,TIM,Individual transport,Chemin Pré-de-l'Oeuf,Genève,Suisse,10,TIM,Public services, ,Genève,Suisse, ,TP,99,0,TIM,6.136716001009590,46.166581692755000,1228,Plan-les-Ouates,3300060,271116.43095,1011.0,60,0
115157,Frontenex,Genève,Suisse,20,MD+TP+TIM,At work/school,Laconnex	Bienne,Genève,Suisse,80,TP+TIM,At relatives,St-Luc (VS),Genève,Suisse,140,TIM,Other home,Genève,Genève,Suisse,15,MD+TIM,Shops,Genève,Genève,Suisse,20,TIM,Public space,0,MD+TP+TIM,6.172211381069760,46.20477922698710,1208,Genève,2121030,120547.3399,969.0,30,21
143832,A Meyrin,Le Grand-Saconnex,Suisse,20,TIM,At work/school,Chez moi,Genève,Suisse,0,,Individual transport,"Balexert et Migros, poste et pharmacie de mon quartier du Pommier",Genève,Suisse,10,TIM,Shops,Dans divers lieu de Genève,Genève,Suisse,30,TIM,Public space,Familiale à Montpellier et secondaire en Espagne.,Genève,Suisse,420,TP+TIM,Other home,0,,6.12131674609686,46.22776852697260,1218,Le Grand-Saconnex,2300042,179640.3107,3714.0,42,0
112519,Terrassiere,Genève,Suisse,25,TP,At work/school,..,Genève,Suisse,0,TIM,Individual transport,Maison de la creativite	Bibliothèque saint jean	Museum	Mah	Cinema balexert,Genève,Suisse,15,TIM,Public space,Parc Hensch	Parc des franchises 	Bord du Rhône,Genève,Suisse,10,TP,Public space,Planete Charmilles	France voisine,Genève,Suisse,15,TIM,Shops,0,MD+TP+TIM,6.121940497938340,46.20832652574610,1203,Genève,2135080,95812.302,2870.0,80,35
142409,Onex,Petit-Lancy,Suisse,10,TP,Public space,Onex,Genève,Suisse,15,TIM,At relatives,Petit-lancy,Genève,Suisse,5,TP,Shops,Petit-lancy,Genève,Suisse,5,TP,Collective transport,Onex,Genève,Suisse,10,TP,Public space,0,MD+TP+TIM,6.109834344608910,46.19028849350240,1213,Petit-Lancy,2800110,238059.2267,3457.0,110,0
136457,Quai des bergues,Genève,Suisse,20,TP,At work/school,"Place neuve, pathé balexert",Genève,Suisse,20,TIM,Public space,Molard,Genève,Suisse,25,TP,Public space,Parc fitness,Genève,Suisse,30,TP,Sport,Gare,Genève,Suisse,10,TP,Collective transport,0,MD+TP+TIM,6.147464627643680,46.221580690560200,1202,Genève,2131010,146643.26925,2129.0,10,31
141114,Bernex,Grand-Lancy,Suisse,15,TIM,At work/school,Lancy,Genève,Suisse,5,MD,Public space,"Lancy, Onex",Genève,Suisse,5,MD,Shops,"Carouge, Ville de Genève",Genève,Suisse,20,MD,Public space,"France, Seyssel",Genève,Suisse,45,TIM,At relatives,0,MD+TIM,6.119071049972610,46.181884901808300,1212,Grand-Lancy,2800151,119004.75985,1142.0,151,0
118780,"Rive, Bel air, Carouge, Plainpalais",Genève,Suisse,15,TP,Public space,"Balexert, La praille, Vieille ville",Genève,Suisse,15,TP,Public space,Bel air,Genève,Suisse,15,TP,Shops,"Charmilles, Grottes, Paquis",Genève,Suisse,25,TP,At relatives,Grottes,Genève,Suisse,25,TP,At relatives,0,TP,6.138263608728460,46.21107971838010,1201,Genève,2103030,122715.41795,3231.0,30,3
